username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink,,,
,4/7/2017 12:17,0,0,#FactFriday : There's a #Plaquenil shortage. #PlaquenilShortage pic.twitter.com/vqlO6PCovz,,,#FactFriday #Plaquenil #PlaquenilShortage,8.50239E+17,https://twitter.com/menhavlupus/status/850238664638554113,,,
,4/6/2017 21:13,0,0,Plaquenil http:// fb.me/233xnK97O,,,,8.50011E+17,https://twitter.com/LupusAndMe/status/850011149261303808,,,
,4/6/2017 17:21,0,0,I am always tired and ache. I just started meloxicam and plaquenil and not taking advil or Tylenol. I feel worse... http:// fb.me/20zmyd6Bc,,,,8.49953E+17,https://twitter.com/NeatPenny/status/849952644806434816,,,
,4/6/2017 9:14,0,0,#led exit signs canada plaquenil for arthritis,,,#led,8.4983E+17,https://twitter.com/AndrewSkiles1/status/849830263035236352,,,
,4/6/2017 8:01,0,1,New Plaquenil Dosing Recommendations http:// Autoimmune-Warriors.com/new-plaquenil- dosing-recommendations/ … pic.twitter.com/Ip3A0i0VaG,,,,8.49812E+17,https://twitter.com/AI_Warriors/status/849811885054734336,,,
,4/5/2017 16:57,0,0,Pharmacy drug pricing reform is needed,,,,,,,,
,4/5/2017 15:15,0,0,I now take pain killers,,,,,,,,
,4/4/2017 8:12,0,0,Wtf Plaquenil ?? via /r/lupus http:// ift.tt/2nDq9Fu,,,,8.4909E+17,https://twitter.com/WebbNebebe/status/849089740590780416,,,
,4/4/2017 6:59,0,0,Oh nice I just started Humira. The shot was something else for sure I may refill my Plaquenil and see how it works together.,,,,8.49071E+17,https://twitter.com/esposa_de_oliva/status/849071311368409092,,,
,4/4/2017 6:51,0,0,Thanks I was just curious if Plaquenil had lost its potency for anyone else? I seem to feel better off of it.,,,,8.49069E+17,https://twitter.com/esposa_de_oliva/status/849069481217413128,,,
,4/4/2017 5:29,0,0,Does anyone else get crazy headaches while taking #plaquenil ? #RAwarrior #rheumatoidarthritis,,,#plaquenil #RAwarrior #rheumatoidarthritis,8.49049E+17,https://twitter.com/Angeladanica/status/849048821342535680,,,
,4/4/2017 2:19,0,0,Just reminiscing abt how useless #Plaquenil was for me but worked miracles for others. Any meds that didnt work for you but did for others?,,,#Plaquenil,8.49001E+17,https://twitter.com/FashonButterfly/status/849000818166595584,,,
,4/3/2017 22:16,0,1,I wonder if I can take bc I took Plaquenil (also a Malaria RX),,,,,,,,
,4/3/2017 6:07,0,0,How to Pronounce Plaquenil ↺RT http://www. dictionaryvoice.com/53108 #,,,#,8.48696E+17,https://twitter.com/DvPhilipgarcia/status/848695864419901441,,,
,4/3/2017 1:01,0,0,@CaringForLupus From Talladega AL. Newly diagnosed.About a month.. I am on Plaquenil . I am 61. 62 in May.,,@CaringForLupus,,8.48619E+17,https://twitter.com/deborahjholley1/status/848618966612312065,,,
,4/2/2017 20:47,0,0,Any info on Tumid Lupus? Very little found on this rare type of lupus. Was just put on Plaquenil for treatment.,,,,8.48555E+17,https://twitter.com/Candididi1/status/848555040797114368,,,
,4/2/2017 0:40,0,2,Mepron,,,,,,,,
,4/1/2017 16:20,0,0,I'm currently taking plaquenil and celebrex for over a year now.Do these meds cause Glaucoma or any eye problems... http:// fb.me/8lbWsxDMz,,,,8.48125E+17,https://twitter.com/NeatPenny/status/848125357526003716,,,
,4/1/2017 12:10,0,0,But I guess once you bump up against vision loss with quinine / Plaquenil there isn't a lead up. My vision degraded nearly immediately.,,,,8.48062E+17,https://twitter.com/WendySparrow/status/848062483558391808,,,
,4/1/2017 12:07,0,1,When you take your meds too late and on an empty stomach. Can't sleep. So nauseous. #RAwarrior #plaquenil,,,#RAwarrior #plaquenil,8.48062E+17,https://twitter.com/Angeladanica/status/848061766168956928,,,
,4/1/2017 9:08,0,2,I don't have diabetes,,,,,,,,
,4/1/2017 4:34,0,12,Picked up my Plaquenil . Now I just have to get myself to take it. I hate starting new meds & this one can lower my blood sugar. #ra #t1d,,,#ra #t1d,8.47948E+17,https://twitter.com/mollyschreiber/status/847947863585947648,,,
,4/1/2017 0:17,0,0,Sony rheumatologist started me on Plaquenil today. I am also still on celebrex and he put me back on Prednisone.... http:// fb.me/5W4POE07k,,,,8.47883E+17,https://twitter.com/NeatPenny/status/847883102907248640,,,
,3/31/2017 23:17,0,0,#FactFriday : #Plaquenil is in high demand & short supply. Make sure you have back up just in case the well runs dry. pic.twitter.com/fm1wYJ3K3z,,,#FactFriday #Plaquenil,8.47868E+17,https://twitter.com/menhavlupus/status/847867892792164353,,,
,3/31/2017 12:17,0,0,#FactFriday : There's a #Plaquenil shortage. #PlaquenilShortage pic.twitter.com/cppnwy6I54,,,#FactFriday #Plaquenil #PlaquenilShortage,8.47702E+17,https://twitter.com/menhavlupus/status/847701839055212544,,,
,3/31/2017 5:30,3,3,Hidroxicloroquina ( Plaquenil ) Se puede usar solo o en combinación con otros fármacos y generalmente se usa... http:// fb.me/13zjvzzCD,,,,8.47599E+17,https://twitter.com/lupusyamigos/status/847599425379749889,,,
,3/30/2017 18:54,0,1,i'm also taking plaquenil to boost the doxy,,,,,,,,
,3/30/2017 12:41,0,0,Which dosis do you take ? I've got a 25y old Lyme and doing my 5th month of doxy/ plaquenil . It works but for how long ?,,,,8.47346E+17,https://twitter.com/sighien/status/847345642695311360,,,
,3/30/2017 11:59,0,0,Plaquenil doesn't even work for me.,,,,8.47335E+17,https://twitter.com/SemanaThompson/status/847335050714562560,,,
,3/30/2017 10:56,0,1,They did! Plaquenil and Prednisone have me to the point where pain meds actually work. Crazy feeling!,,,,8.47319E+17,https://twitter.com/elizabethbarone/status/847318981891375105,,,
,3/30/2017 4:20,0,1,I take plaquenil ! For lupus rash but I still get the rashes,,,,,,,,
,3/30/2017 2:25,1,14,"The plaquenil is for lupus?"" ""Well..."" ""Or",,,,,,,,
,3/29/2017 20:31,0,1,On Benlysta,,,,,,,,
,3/29/2017 18:47,0,1,( Plaquenil has no natural analog or root historically. Methotrexate is edited folic acid to be more effective.),,,,8.47075E+17,https://twitter.com/tinysapien/status/847075307916070916,,,
,3/29/2017 16:57,0,1,Plaquenil did me no good. One dr tried nothing else because I complained it messed w/eyed. New dr started infusions,,,,8.47047E+17,https://twitter.com/thphotography/status/847047493057699840,,,
,3/29/2017 15:27,0,0,#Patent Expired for #Plaquenil https:// twitter.com/menhavlupus/st atus/842888803475894272 …,,,#Patent #Plaquenil,8.47025E+17,https://twitter.com/Baloe058/status/847024871284596736,,,
,3/29/2017 15:23,0,0,Volgens de apotheek is het patent van #Plaquenil verlopen en krijg ik huismerk,,,,,,,,
,3/29/2017 13:27,0,0,Seeing an eye doc regularly. Was on Plaquenil about 10 years. Have an appointment this Friday to discuss. Thanks. :),,,,8.46995E+17,https://twitter.com/GinaRClark/status/846994784854183937,,,
,3/29/2017 13:25,0,1,PS: I'm on Plaquenil and Arava,,,,,,,,
,3/28/2017 18:30,0,0,I have a question about medications and the sun. I have RA,,,,,,,,
,3/28/2017 9:29,0,0,I know it's too early to judge,,,,,,,,
,3/28/2017 5:23,0,1,I am on Plaquenil ,,,,,,,,
,3/28/2017 0:27,0,0,So evidentally another side effect of plaquenil is it changes your hair color.I'm starting to notice a lot of red.. pic.twitter.com/gXbTj1UDfk,,,,8.46436E+17,https://twitter.com/takenbythewind4/status/846436100688166912,,,
,3/27/2017 23:19,0,0,Is it safe to work w/a lot of young children every day when you're on Plaquenil & Cellcept (immunosuppressants)? Feel flu-ish every day now.,,,,8.46419E+17,https://twitter.com/LindsayGore_/status/846418800593551362,,,
,3/27/2017 19:34,0,6,Do I have retinal toxicity from plaquenil ,,,,,,,,
,3/27/2017 7:03,0,1,The plaquenil eye effects are different,,,,,,,,
,3/27/2017 7:02,0,0,. @betseyquinns your eye issues might of been Plaquenil related & not prednisone? (imo) hard to always relate when on so many meds #rheum,,@betseyquinns,#rheum,8.46173E+17,https://twitter.com/TerezHumphrey/status/846173135909007360,,,
,3/27/2017 6:58,0,0,. @betseyquinns yes being on Plaquenil -huge effect on eyes -may not be steroid related(?) I was on it 20 yrs ago,,@betseyquinns,,8.46172E+17,https://twitter.com/TerezHumphrey/status/846172071709331456,,,
,3/27/2017 6:56,0,1,I was on plaquenil so seeing an ophthalmologist regularly & he spotted the issue quick,,,,,,,,
,3/27/2017 3:12,4,5,Good evidence for continuing hydroxychloroquine ( Plaquenil ) during pregnancy in lupus #LupusACA - Aisha Lateef,,,#LupusACA,8.46115E+17,https://twitter.com/drwinnietong/status/846115244216795136,,,
,3/26/2017 23:16,0,1,They took my plaquenil away until I get my act together and get my eyes looked at. Does it help you?,,,,8.46056E+17,https://twitter.com/sarahwhelmed/status/846055790444187648,,,
