username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink,
,4/7/2017 10:27,0,0,Biogen sticks it to Kyle Bass with Tecfidera IPR win - FiercePharma http:// buff.ly/2nCs00C,,,,8.50E+17,https://twitter.com/ribelmariluisa/status/850210781048168449,
,4/7/2017 3:18,0,0,Spinach and Chicken Sausage Gluten Free Pizza - Tecfidera https://www. youtube.com/watch?v=-__lrV --HBo&feature=share …,,,,8.50E+17,https://twitter.com/Cooking4Ms/status/850103019928793091,
,4/7/2017 2:27,0,0,Por si te lo ofrecen,,,,,,
,4/6/2017 22:46,0,0,【知財関連ニュース】米国特許審判部　バイオジェン社の多発性硬化症治療薬 Tecfidera に有利な判決[特許][知的財産] [知財ニュース][知財フィルター] http:// iptops.com/news/61367,,,,8.50E+17,https://twitter.com/iptops_com_news/status/850034416822829056,
,4/6/2017 20:36,0,0,MS Tecfidera medication caused liver injury to 14 people https://www. groupactionlawyers.co.uk/blog/ms-tecfid era-medication-caused-liver-injury-14-people?fb_ref=_wtdZc0Wsa-Twitter …,,,,8.50E+17,https://twitter.com/GroupActionUK/status/850001758160117760,
,4/6/2017 18:31,0,0,#MultipleSclerosis patents in the news #raredisease 1. Biogen & Tecfidera http://www. fiercepharma.com/pharma/biogen- triumphs-tecfidera-patent-dispute-forward-but-victory-won-t-keep-generics-at-bay … 2. Acorda http://www. fiercepharma.com/pharma/court-n ixes-4-acorda-patents-teeing-up-amprya-generics-for-2018 …,,,#MultipleSclerosis #raredisease,8.50E+17,https://twitter.com/michelerhee/status/849970309889499136,
,4/6/2017 11:07,0,0,That's nuts! I thought my Xopenex and Prograf were bad. But tecfidera wins! Hopefully your insurance covers some of that. Sheesh!,,,,8.50E+17,https://twitter.com/graphickat/status/849858533101367296,
,4/6/2017 7:02,1,0,Biogen wins Tecfidera U.S. patent dispute with Forward Pharma http:// reut.rs/2mW39W9 via @Reuters,,@Reuters,,8.50E+17,https://twitter.com/Priyank88827779/status/849796972483674116,
,4/5/2017 21:24,0,0,Si con tecfidera he tenido 4 brotes en 8 meses,,,,,,
,4/5/2017 19:21,0,0,one medicine. It's my tecfidera . It's even ORAL AND A REGULAR PILL,,,,8.50E+17,https://twitter.com/worddroppings/status/849620408559075329,
,4/5/2017 18:56,0,1,I will have to write any side affects down has a diary to fill in #tecfidera #MultipleSclerosis,,,#tecfidera #MultipleSclerosis,8.50E+17,https://twitter.com/FariniJulie/status/849614107426869248,
,4/5/2017 18:46,0,0,#Tecfidera here #MS Meds 120mg for 1 week 1 tablet twice daily with food ,,,,,,
,4/5/2017 11:34,0,0,Tecfidera (msremmer) was psoriassis med voor 4.50 per potje,,,,,,
,4/5/2017 10:18,1,0,#Biogen wins Tecfidera U.S. patent dispute with Forward Pharma victory- generics @PharmaCompass https:// goo.gl/qjXTQv pic.twitter.com/ZSIVHxpEo8,,@PharmaCompass,#Biogen,8.49E+17,https://twitter.com/RiyaSuper/status/849483957368496128,
,4/4/2017 22:40,1,0,#StandwithHFC Tecfidera (prescribed to treat relapsing multiple sclerosis) $663 - United Kingdom $5,,,,,,
,4/4/2017 19:43,10,10,Discutiendo opciones terapéuticas en un caso de #esclerosismultiple estable y #psoriasis no controlada con #tecfidera #secukinumab pic.twitter.com/mGdec6ybE2,,,#esclerosismultiple #psoriasis #tecfidera #secukinumab,8.49E+17,https://twitter.com/J_SastreGarriga/status/849263728524701696,
,4/4/2017 18:53,0,0,#SclerosiMultipla Biogen: per Tecfidera nessuna violazione brevetto Forward Pharma http:// dlvr.it/NpCgpC,,,#SclerosiMultipla,8.49E+17,https://twitter.com/NoemiLu1982/status/849250992327606272,
,4/4/2017 18:45,0,0,Biogen: per Tecfidera nessuna violazione brevetto Forward Pharma http:// dlvr.it/NpCVRl,,,,8.49E+17,https://twitter.com/fmavitto/status/849249014134341632,
,4/4/2017 17:35,0,0,Analysts: Biogen triumphs in latest Tecfidera patent dispute—but the victory won't keep generics at bay http://www. fiercepharma.com/pharma/biogen- triumphs-tecfidera-patent-dispute-forward-but-victory-won-t-keep-generics-at-bay …,,,,8.49E+17,https://twitter.com/atticusMB/status/849231485253103618,
,4/4/2017 16:54,0,0,#Biogen wins a #MS Tecfidera patent related to it's dosage (480 mg) of a key ingredient (dimethyl fumarate) http:// ln.is/www.reuters.co m/arti/Poim2 … #FF pic.twitter.com/JMmOp35vKN,,,#Biogen #MS #FF,8.49E+17,https://twitter.com/NataliaBirk/status/849221162219573248,
,4/4/2017 14:05,0,1,Hubby starts his #tecfidera on Friday he had a bit of delay getting his meds as hospital changed pharmacy supplier & had wrong mobile number,,,#tecfidera,8.49E+17,https://twitter.com/FariniJulie/status/849178604609187840,
,4/4/2017 6:00,2,0,#Biogen triumphs in latest #Tecfidera patent dispute—but the victory won't keep #generics at bay #pharma #MS http://www. fiercepharma.com/pharma/biogen- triumphs-tecfidera-patent-dispute-forward-but-victory-won-t-keep-generics-at-bay …,,,#Biogen #Tecfidera #generics #pharma #MS,8.49E+17,https://twitter.com/ACTonMS/status/849056611280793600,
,4/4/2017 4:42,3,8,It definitely comes and goes though,,,,,,
,4/4/2017 3:29,0,0,Analysts: Biogen triumphs in latest Tecfidera patent dispute—but the victory won't keep generics at bay -… http:// dlvr.it/Nnx4Bc pic.twitter.com/VDsltboSGG,,,,8.49E+17,https://twitter.com/PatentCafe/status/849018566368124928,
,4/4/2017 1:39,0,2,Yes,,,,,,
,4/4/2017 1:16,1,0,Analysts: $ BIIB triumphs in latest #Tecfidera patent dispute—but the victory won't keep generics at bay #MS #MSdrugs http://www. fiercepharma.com/pharma/biogen- triumphs-tecfidera-patent-dispute-forward-but-victory-won-t-keep-generics-at-bay …,,,#Tecfidera #MS #MSdrugs,8.49E+17,https://twitter.com/kjilly/status/848985066101329920,
,4/3/2017 23:50,2,0,Biogen triumphs in latest Tecfidera patent dispute—but the victory won't keep generics at bay http:// bit.ly/2oufgtF $ BIIB #pharma,,,#pharma,8.49E+17,https://twitter.com/CarlyHFierce/status/848963314768019457,
,4/3/2017 23:47,0,0,Took Tecfidera dose one this morning and I feel fine! pic.twitter.com/IKIbpeSZpm,,,,8.49E+17,https://twitter.com/danstuckey/status/848962701892218880,
,4/3/2017 23:26,0,0,"$ FWP $ BIIB Reviewed Interference Decision of the 480mg Tecfidera invention"""," striking how often PTAB mentioned obviousness as an issue.""",,,,8.49E+17,https://twitter.com/MarkmanAdvisors/status/848957375071604737
,4/3/2017 22:46,0,0,Analysts: Biogen triumphs in latest Tecfidera patent dispute—but the victory won't keep generics at bay - FiercePh… http:// bit.ly/2nwNBTW,,,,8.49E+17,https://twitter.com/patesalo_e/status/848947342082543616,
,4/3/2017 21:50,6,4,Biogen triumphs in latest Tecfidera patent dispute,,,,,,
,4/3/2017 21:40,0,0,Biogen wins another big Tecfidera patent case https://www. bizjournals.com/boston/news/20 17/03/31/biogen-wins-another-round-in-tecfidera-patent.html … via @BosBizJournal,,@BosBizJournal,,8.49E+17,https://twitter.com/kendallnow/status/848930729912303616,
,4/3/2017 19:30,1,1,I take Copaxone now but doc and I are considering switching to Tecfidera . You?,,,,8.49E+17,https://twitter.com/caseyblank/status/848898080653049858,
,4/3/2017 18:31,0,0,$ BIIB : Biogen (BIIB) PT Raised to $315 at Citi Following Positive Tecfidera …: http://www. StockNewsWires.com/biib-biogen-bi ib-pt-raised-to-315-at-citi-following-positive-tecfidera/ …,,,,8.49E+17,https://twitter.com/newswelldone/status/848883053287972864,
,4/3/2017 18:26,0,0,Biogen $ BIIB PT Raised to $315 at Citi Following Positive Tecfidera Dosing Patent Ruiling by USPTO @AnalystWire https:// app.contix.com/alerts/37016977,,@AnalystWire,,8.49E+17,https://twitter.com/contixalerts/status/848881876592762880,
,4/3/2017 18:26,1,0,Biogen $ BIIB PT Raised to $315 at Citi Following Positive Tecfidera Dosing Patent Ruiling by USPTO http:// streetinsider.com/r/12735010,,,,8.49E+17,https://twitter.com/AnalystWire/status/848881864102334464,
,4/3/2017 16:53,2,0,Biogen wins Tecfidera U.S. patent dispute with Forward Pharma http:// reut.rs/2mW39W9,,,,8.49E+17,https://twitter.com/PharmaMKTnet/status/848858485127348224,
,4/3/2017 16:48,0,0,Biogen wins another big Tecfidera patent case http://www. bizjournals.com/boston/news/20 17/03/31/biogen-wins-another-round-in-tecfidera-patent.html …,,,,8.49E+17,https://twitter.com/mattliptak/status/848857228690018305,
,4/3/2017 16:22,1,0,Biogen wins Tecfidera U.S. patent dispute with Forward Pharma | Reuters http:// ow.ly/gFMa30avnDI,,,,8.49E+17,https://twitter.com/Brian_Uberig/status/848850687735853056,
,4/3/2017 5:28,0,0,.@​Biogen wins another big Tecfidera patent case http:// bizj.us/1p4ahq,,@,,8.49E+17,https://twitter.com/BosBizJournal/status/848685981507215360,
,4/3/2017 5:16,0,1,This is where I'm at. Been offered it but the side effects scare me and my other option is Tecfidera . Argh. Don't know what to do 4 the best,,,,8.49E+17,https://twitter.com/ElleInTheMids/status/848683079203946500,
,4/3/2017 5:09,0,0,I've been recommended lemtrada but am put off by the side effects and monthly blood tests. Really can't decide between that and #Tecfidera,,,#Tecfidera,8.49E+17,https://twitter.com/ElleInTheMids/status/848681332666507264,
,4/3/2017 4:54,2,3,アメブロを更新しました。 『多発性硬化症治療剤「 TECFIDERA ®カプセル」日本において多発性硬化症の治療薬として新薬承認』 http:// ameblo.jp/takazou77/entr y-12262128402.html …,,,,8.49E+17,https://twitter.com/takazou771/status/848677519754616833,
,4/3/2017 2:14,3,0,#Biogen 's #Tecfidera exclusivity is secured through 2028 under the ruling...no generic anytime soon #pharma http:// health.economictimes.indiatimes.com/news/pharma/bi ogen-wins-tecfidera-u-s-patent-dispute-with-forward-pharma/57954856 …,,,#Biogen #Tecfidera #pharma,8.49E+17,https://twitter.com/ACTonMS/status/848637251164798977,
,4/3/2017 1:49,1,0,Biogen wins Tecfidera U.S. patent dispute with Forward Pharma | ET HealthWorld http:// health.economictimes.indiatimes.com/news/pharma/bi ogen-wins-tecfidera-u-s-patent-dispute-with-forward-pharma/57954856 …,,,,8.49E+17,https://twitter.com/NARCOMS/status/848631094593429506,
,4/3/2017 1:37,0,0,I'm on Avonex now,,,,,,
,4/2/2017 14:36,1,0,Biogen wins Tecfidera U.S. patent dispute with Forward Pharma http://www. reuters.com/article/us-bio gen-forward-patent-idUSKBN1722EZ … via https:// drumup.io,,,,8.48E+17,https://twitter.com/pharmicals/status/848461504496017412,
,4/2/2017 14:14,1,0,Biogen wins Tecfidera US patent dispute with Forward Pharma - http:// goo.gl/alerts/CW6NA #GoogleAlerts,,,#GoogleAlerts,8.48E+17,https://twitter.com/UmYusuf61/status/848456105281957888,
,4/2/2017 9:27,0,1,I managed it myself for 7 years. On Dimethyl Fumarate ( Tecfidera ) now. I am NEDA (No Evidence of disease activity) currently.,,,,8.48E+17,https://twitter.com/MSUnites/status/848383763503607808,
,4/2/2017 7:48,0,0,Back to why I stopped Tecfidera : Had HORRIBLE side-effects & it lowered my white blood cell count so I couldn't fight anything! Always sick!,,,,8.48E+17,https://twitter.com/OJIBAJO/status/848358889661886468,
,4/2/2017 7:11,0,0,When I went up to the full dose of Tecfidera ,,,,,,
